method,pseudopotential,system,basis,IP,IPerr,SHCIIP
UCCSD(T),trail,Ti,vdz,0.24828164310982714,0.0,0.24903000000000475
UCCSD(T),trail,V,vdz,0.24856747102784027,0.0,0.24926999999999566
UCCSD(T),trail,Cr,vdz,0.23939976121783957,0.0,0.23962000000000216
UCCSD(T),trail,Mn,vdz,0.2685135362038267,0.0,0.26890000000000214
UCCSD(T),trail,Fe,vdz,0.2841568237427765,0.0,0.2845800000000054
UCCSD(T),trail,Cu,vdz,0.26937062628510944,0.0,0.26966999999999075
UCCSD(T),trail,Sc,vtz,0.23998968991507752,0.0,0.2408099999999962
UCCSD(T),trail,Ti,vtz,0.24948305727801312,0.0,0.2503899999999959
UCCSD(T),trail,V,vtz,0.2483643124375874,0.0,0.24943000000000382
UCCSD(T),trail,Cr,vtz,0.2477682748994141,0.0,0.24793999999998562
UCCSD(T),trail,Mn,vtz,0.2710527884982241,0.0,0.2715199999999953
UCCSD(T),trail,Fe,vtz,0.2881253618440951,0.0,0.28863000000001193
UCCSD(T),trail,Cu,vtz,0.2816443130247137,0.0,0.2815999999999974
UCCSD(T),trail,Sc,vqz,0.24001362643389967,0.0,0.24089000000000027
UCCSD(T),trail,Ti,vqz,0.24952833924742635,0.0,0.25043999999999755
UCCSD(T),trail,V,vqz,0.24711336079134583,0.0,0.24819000000000813
UCCSD(T),trail,Cr,vqz,0.24871836078145293,0.0,0.2489399999999904
UCCSD(T),trail,Mn,vqz,0.27171317470521217,0.0,0.27228999999999814
UCCSD(T),trail,Fe,vqz,0.2890008676175455,0.0,0.289660000000012
UCCSD(T),trail,Cu,vqz,0.2831428779836074,0.0,0.28298999999998387
UCCSD(T),trail,Sc,v5z,0.2400892439066027,0.0,0.24098000000000042
UCCSD(T),trail,Ti,v5z,0.24964557362675777,0.0,0.2507000000000019
UCCSD(T),trail,V,v5z,0.24678757160768328,0.0,0.24801000000000784
UCCSD(T),trail,Cr,v5z,0.24892694741252797,0.0,0.24904999999999688
UCCSD(T),trail,Mn,v5z,0.27205359857126155,0.0,0.2725799999999907
UCCSD(T),trail,Fe,v5z,0.2894255123132581,0.0,0.28996999999999673
UCCSD(T),trail,Cu,v5z,0.2838476981013116,0.0,0.28356999999999744
GF2,trail,Sc,vdz,0.23270000000000124,0.0,0.24002000000000123
GF2,trail,Sc,vtz,0.2360000000000042,0.0,0.2408099999999962
GF2,trail,Sc,vqz,0.23680000000000234,0.0,0.24089000000000027
SEET(FCI/GF2),trail,Sc,vdz,0.23869999999999436,0.0,0.24002000000000123
SEET(FCI/GF2),trail,Sc,vtz,0.23920000000000385,0.0,0.2408099999999962
SEET(FCI/GF2),trail,Sc,vqz,0.24110000000000298,0.0,0.24089000000000027
GF2,trail,Ti,vdz,0.2172000000000054,0.0,0.24903000000000475
GF2,trail,Ti,vtz,0.21650000000000347,0.0,0.2503899999999959
GF2,trail,Ti,vqz,0.22070000000000078,0.0,0.25043999999999755
SEET(FCI/GF2),trail,Ti,vdz,0.25270000000000437,0.0,0.24903000000000475
SEET(FCI/GF2),trail,Ti,vtz,0.25150000000000006,0.0,0.2503899999999959
SEET(FCI/GF2),trail,Ti,vqz,0.2511999999999972,0.0,0.25043999999999755
GF2,trail,V,vdz,0.23340000000000316,0.0,0.24926999999999566
GF2,trail,V,vtz,0.23669999999999902,0.0,0.24943000000000382
GF2,trail,V,vqz,0.22750000000000625,0.0,0.24819000000000813
SEET(FCI/GF2),trail,V,vdz,0.25090000000000146,0.0,0.24926999999999566
SEET(FCI/GF2),trail,V,vtz,0.2506000000000057,0.0,0.24943000000000382
SEET(FCI/GF2),trail,V,vqz,0.2471000000000032,0.0,0.24819000000000813
GF2,trail,Cr,vdz,0.24270000000001346,0.0,0.23962000000000216
GF2,trail,Cr,vtz,0.25140000000000384,0.0,0.24793999999998562
GF2,trail,Cr,vqz,0.25250000000001194,0.0,0.2489399999999904
SEET(FCI/GF2),trail,Cr,vdz,0.24020000000000152,0.0,0.23962000000000216
SEET(FCI/GF2),trail,Cr,vtz,0.24759999999999138,0.0,0.24793999999998562
SEET(FCI/GF2),trail,Cr,vqz,0.24689999999999657,0.0,0.2489399999999904
GF2,trail,Mn,vdz,0.2604000000000042,0.0,0.26890000000000214
GF2,trail,Mn,vtz,0.26600000000000534,0.0,0.2715199999999953
GF2,trail,Mn,vqz,0.2674999999999983,0.0,0.27228999999999814
