,energy,energy_error
0,-30.21149513563974,0.008064100483597104
1,-30.907833392540024,0.005584336486204782
2,-31.03164925634385,0.0017963169788868282
3,-31.06500432208909,0.001792339053254213
4,-31.072338829014996,0.0012050054836358953
5,-31.077276774747844,0.0025967920451864224
6,-31.070864054418365,0.001878499374491626
7,-31.07790576587597,0.003002450144216162
8,-31.083198696155378,0.0030837926551169218
9,-31.0810839124935,0.0021970160452674382
10,-31.08353340872019,0.0033895607411564476
11,-31.078687010353207,0.002939639023477239
12,-31.08315541811936,0.0028437033311097875
13,-31.082480392927803,0.002722942145817345
14,-31.08340038301631,0.003832603564611971
15,-31.080103755523396,0.0038967371813923802
16,-31.081599872970095,0.0026314165048476027
17,-31.07998474618188,0.001737831379758042
18,-31.08942104878619,0.0023010279916133593
19,-31.07964293202144,0.003251396285714153
20,-31.083181392887123,0.0020034690564439965
21,-31.080788203503875,0.0033532126816530395
22,-31.07812552763648,0.0025395745805653833
23,-31.085198266552254,0.0030914868264796374
24,-31.081183192526762,0.0025043219762458232
25,-31.076890368826163,0.0026698510407005675
26,-31.08253484221756,0.002259665432831591
27,-31.08313156565924,0.0031879611978541987
28,-31.083041777592598,0.00308141922587862
29,-31.085105570988084,0.0032133099840323835
